Year,Department,JobTitle,AveAnnualRate,NumEmployees
2008,Air Pollution Control,Administrative Supvsr II      ,46592,1
2008,Air Pollution Control,Air Poll Compliance Off U310  ,47222.93333,6
2008,Air Pollution Control,Air Pollution Tech II U310    ,35909.12,5
2008,Air Pollution Control,Assistant Director            ,93928.9,2
2008,Air Pollution Control,Business Specialist           ,37710.4,2
2008,Air Pollution Control,Community Outreach Coord      ,37731.2,2
2008,Air Pollution Control,Director                      ,99283.6,1
2008,Air Pollution Control,Engineer I                    ,56791.56364,11
2008,Air Pollution Control,Env Compliance Supvsr         ,56513.6,2
2008,Air Pollution Control,Environmental Coordinator     ,40709.76,10
2008,Air Pollution Control,Environmental Engineer Coord  ,61620,4
2008,Air Pollution Control,Environmental Engineer Mngr   ,71760,2
2008,Air Pollution Control,Environmental Engineer Spec   ,40102.4,1
2008,Air Pollution Control,Environmental Engineer Supvsr ,65901.33333,3
2008,Air Pollution Control,Environmental Manager         ,65936,2
2008,Air Pollution Control,Environmental Specialist U310 ,41935.4,8
2008,Air Pollution Control,Executive Administrator       ,64617.8,1
2008,Air Pollution Control,Executive Assistant           ,34673.6,1
2008,Air Pollution Control,Info Systems Analyst          ,52041.6,2
2008,Air Pollution Control,Local Area Network Analyst    ,47652.8,1
2008,Air Pollution Control,Management Assistant U310     ,35685.86667,3
2008,Air Pollution Control,Public Information Supvsr     ,59259.2,1
2009,Air Pollution Control,Administrative Supvsr II      ,46592,1
2009,Air Pollution Control,Air Poll Compliance Off U310  ,48311.46667,6
2009,Air Pollution Control,Air Pollution Tech II U310    ,35425.86667,6
2009,Air Pollution Control,APCD Regulatory Coordinator   ,65000,1
2009,Air Pollution Control,Assistant Director            ,88745.8,1
2009,Air Pollution Control,Business Specialist           ,37710.4,2
2009,Air Pollution Control,Community Outreach Coord      ,38750.4,1
2009,Air Pollution Control,Engineer I                    ,55812.8,13
2009,Air Pollution Control,Engineer Supvsr               ,62857.6,1
2009,Air Pollution Control,Env Compliance Supvsr         ,56513.6,2
2009,Air Pollution Control,Environmental Coordinator     ,40709.76,10
2009,Air Pollution Control,Environmental Engineer Coord  ,61620,4
2009,Air Pollution Control,Environmental Engineer Mngr   ,75004.8,1
2009,Air Pollution Control,Environmental Engineer Spec   ,40102.4,1
2009,Air Pollution Control,Environmental Engineer Supvsr ,67100.8,2
2009,Air Pollution Control,Environmental Manager         ,65936,2
2009,Air Pollution Control,Environmental Specialist U310 ,42145.42222,9
2009,Air Pollution Control,Executive Administrator       ,64617.8,1
2009,Air Pollution Control,Executive Assistant           ,34673.6,1
2009,Air Pollution Control,Info Systems Analyst          ,47618.13333,3
2009,Air Pollution Control,Intern                        ,27144,2
2009,Air Pollution Control,Local Area Network Analyst    ,47652.8,1
2009,Air Pollution Control,Management Assistant U310     ,36406.93333,3
2009,Air Pollution Control,Public Information Supvsr     ,59259.2,1
2010,Air Pollution Control,Administrative Supvsr II      ,47528,1
