Year,Department,JobTitle,RegularRate,OvertimeRate,IncentiveAllowance,Other
2008,Air Pollution Control,Administrative Supvsr II      ,46091.29,0,0,0
2008,Air Pollution Control,Air Poll Compliance Off U310  ,46085.88667,0,1140.081667,0
2008,Air Pollution Control,Air Pollution Tech II U310    ,34910.416,0,181.904,0
2008,Air Pollution Control,Assistant Director            ,87338.535,0,0,6153.27
2008,Air Pollution Control,Business Specialist           ,37309.975,64.065,0,0
2008,Air Pollution Control,Community Outreach Coord      ,29397.735,50.3,0,584.365
2008,Air Pollution Control,Director                      ,69588.01,0,0,4387.57
2008,Air Pollution Control,Engineer I                    ,45942.52364,197.1854545,0,0
2008,Air Pollution Control,Env Compliance Supvsr         ,55910.15,0,0,0
2008,Air Pollution Control,Environmental Coordinator     ,38783.162,63.957,0,38.603
2008,Air Pollution Control,Environmental Engineer Coord  ,59990.665,216.3275,0,0
2008,Air Pollution Control,Environmental Engineer Mngr   ,12295.2,0,0,4225.05
2008,Air Pollution Control,Environmental Engineer Spec   ,39673.76,0,0,0
2008,Air Pollution Control,Environmental Engineer Supvsr ,51183.36,0,0,444.72
2008,Air Pollution Control,Environmental Manager         ,62315.885,0,0,0
2008,Air Pollution Control,Environmental Specialist U310 ,41377.6125,0,0,0
2008,Air Pollution Control,Executive Administrator       ,11183.85,0,0,0
2008,Air Pollution Control,Executive Assistant           ,34301.39,0,0,0
2008,Air Pollution Control,Info Systems Analyst          ,51488.88,37.505,0,-526.6
2008,Air Pollution Control,Local Area Network Analyst    ,47145.2,0,0,0
2008,Air Pollution Control,Management Assistant U310     ,34734.37333,673.4566667,659.41,0
2008,Air Pollution Control,Public Information Supvsr     ,54208.41,0,0,0
2008,Belle of Louisville,Accountant                    ,22691.65,73.09,0,385.705
2008,Belle of Louisville,Assistant Captain             ,37962.18,0,0,0
2008,Belle of Louisville,Assistant Engineer            ,30966.62,0,0,0
2008,Belle of Louisville,Bartender                     ,4105.05125,39.3575,0,0
2008,Belle of Louisville,Captain-Master                ,62684.8,0,0,0
2008,Belle of Louisville,Captain-Pilot                 ,16366.205,0,0,0
2008,Belle of Louisville,Carpenter                     ,22646.99,0,0,0
2008,Belle of Louisville,Cashier - Belle of Louisville ,4036.5,62.25,0,0
2008,Belle of Louisville,Charter Sales Representative  ,32429.15,429.71,0,0
2008,Belle of Louisville,Chief Engineer                ,45683.065,0,0,0
2008,Belle of Louisville,Chief Executive Officer       ,78345.6,0,0,0
2008,Belle of Louisville,Chief Purser                  ,40904.24,0,0,0
2008,Belle of Louisville,Deckhand                      ,4924.523704,180.0074074,0,259.3125926
2008,Belle of Louisville,Education Coordinator         ,19327.39,338.83,0,0
2008,Belle of Louisville,Engineering Assistant         ,11804.0175,371.2575,0,0
2008,Belle of Louisville,Group Sales & Marketing Mgr   ,28059.6,0,0,2629.275
2008,Belle of Louisville,Group Sales & Marketing Repres,17602.03,101.195,0,564.53
2008,Belle of Louisville,Hospitality Worker            ,2195.534706,32.55882353,0,0
2008,Belle of Louisville,Mate-Licensed                 ,23496.31,2899.79,0,0
2008,Belle of Louisville,Purser                        ,13640.83,1071.915,0,0
2008,Belle of Louisville,Retail Sales/Gift Shop Superv ,10324.83333,19.8,0,461.8133333
2008,Board of Elections            ,Board of Elections Clerk      ,8802.317222,149.6505556,0,111.8222222
2008,Board of Elections            ,Co-Dir Board of Elections     ,41126.88,0,4571.175,6562.8
2008,Board of Elections            ,Commissioner                  ,15710.22,0,0,0
2008,Board of Elections            ,Courier                       ,4719,0,0,0
2008,Board of Elections            ,Driver - S1                   ,2249.666667,420.75,0,0
2008,Board of Elections            ,External Operations Manager   ,26079.36,0,0,924.8
2008,Board of Elections            ,External Operations Supvsr    ,20856.72,0,0,0
2008,Board of Elections            ,Geographic Coordinator        ,10140,0,0,5070
2008,Board of Elections            ,Info Systems Coordinator      ,31640.4,252.45,0,0
2008,Board of Elections            ,Internal Operations Manager   ,21702.72,0,0,0
2008,Board of Elections            ,Internal Operations Supvsr    ,17687.04,482.16,0,0
2008,Board of Elections            ,Laborer - NoEEORpt            ,2244,420.75,0,0
2008,Board of Elections            ,Logistics Coordinator         ,20856.72,1612.105,0,0
2008,Board of Elections            ,Mapping & Statistics Coord    ,23236.8,0,0,0
2008,Board of Elections            ,Network Analyst - NoEEORpt    ,25695.84,0,0,0
2008,Board of Elections            ,Training Coord - NoEEORpt     ,17202,394.59,0,0
2008,Commonwealth Attorney,Attorney - NoEEORpt           ,35341.41533,0,0,815.7673333
2008,Commonwealth Attorney,Detective                     ,36185.25,0,0,0
2008,Commonwealth Attorney,Paralegal - NoEEORpt          ,35563.125,0,0,0
2008,Commonwealth Attorney,Secretary - NoEEORpt          ,46193.25,0,0,0
2008,Commonwealth Attorney,Victim Advocate               ,38492.1575,0,0,0
2008,Community Action Partnership,Administrative Asst           ,39486.56,112.86,0,0
2008,Community Action Partnership,Administrative Clerk          ,25063.68,0,0,0
2008,Community Action Partnership,Administrative Coordinator    ,38195.2,0,0,0
2008,Community Action Partnership,AmeriCorps Member             ,3726.137045,0,0,0
2008,Community Action Partnership,Business Accountant II        ,43155.18,0,0,0
2008,Community Action Partnership,Business Manager II           ,63158.42,0,0,0
2008,Community Action Partnership,Business Specialist           ,27408.84,0,0,2180.56
2008,Community Action Partnership,Director                      ,67904.48,0,0,16521.77
2008,Community Action Partnership,Executive Administrator       ,63931.14,0,0,0
2008,Community Action Partnership,Foster Grandparents           ,2244.041143,0,0,0
2008,Community Action Partnership,Info Systems Analyst          ,41104.68,27.4,0,0
2008,Community Action Partnership,Intergenerational Prg Wkr U310,11863.49,187.79,0,0
2008,Community Action Partnership,Public Information Specialist ,6347.6,0,0,3271.28
2008,Community Action Partnership,Social Service Prog Asst      ,16996.575,300.73,0,911.615
2008,Community Action Partnership,Social Service Prog Coord     ,29370.60714,99.38571429,0,0
2008,Community Action Partnership,Social Service Prog Spec U315 ,27066.35,276.7442857,0,749.7142857
2008,Community Action Partnership,Social Service Prog Supvsr I  ,43075.77,0,0,0
2008,Community Action Partnership,Social Service Technician U310,11187.44,1462.23,0,0
2008,Community Action Partnership,Social Services Manager       ,34749.76,0,0,0
2008,Community Action Partnership,Staff Helper/External         ,2700.45,0,0,0
2008,Community Action Partnership,Staff Helper/Internal         ,3052.254545,60.01363636,0,0
2008,Community Action Partnership,Volunteer Coordinator         ,36791.83,72.68,0,0
2008,Coroner,Administrative Asst-OT-NoEEORp,31220.8,0,0,2600
2008,Coroner,Chief Deputy Coroner          ,50752,0,5200,0
2008,Coroner,Coroner                       ,63339.93,0,0,0
2008,Coroner,Deputy Coroner                ,41992.58182,0,4972.727273,0
2008,Coroner,Research Assistant - NoEEORpt ,12638.96,0,0,0
2008,County Attorney,Administrative Asst - NoEEORpt,31134.4,0,0,0
2008,County Attorney,Administrator III             ,68180,0,0,10908.8
2008,County Attorney,Assistant County Attorney     ,52755.365,0,0,0
2008,County Attorney,Asst Dir Bad Check/Restitution,40486.8,0,0,0
2008,County Attorney,Attorney I                    ,37670.2,0,0,0
2008,County Attorney,Attorney II                   ,54348.6,0,0,1347.28
2008,County Attorney,Attorney III                  ,78686.4,0,0,0
2008,County Attorney,Bad Check/Restitution Clerk   ,31491.2,0,0,0
2008,County Attorney,Chief of Staff                ,82763.2,0,0,0
2008,County Attorney,Clerk - S2                    ,15540.84714,21.98571429,0,43.33714286
2008,County Attorney,Communications Manager        ,64006.4,0,0,0
2008,County Attorney,County Attorney               ,38040.46,0,0,0
2008,County Attorney,Court Liaison                 ,44179.2,0,0,0
2008,County Attorney,Director Bad Check/Restitution,40094.6,0,0,0
2008,County Attorney,Director Civil Division       ,96733.3,0,0,0
2008,County Attorney,Director Community Services   ,53617.2,0,0,0
2008,County Attorney,Domestic Violence Statistician,11655.175,0,0,2148.005
2008,County Attorney,DUI Vicitims Assistant        ,37315.2,0,0,0
2008,County Attorney,Executive Assistant - NoEEORpt,45156.8,0,0,0
2008,County Attorney,Executive Secretary           ,38511.2,0,0,0
2008,County Attorney,Human Res Specialist - Comp   ,38688,0,0,0
2008,County Attorney,Juvenile Services Coordinator ,33840.61,0,0,0
2008,County Attorney,Law Clerk                     ,3530.17,0,0,48.672
2008,County Attorney,Legal Administrative Assistant,34902.4,0,0,0
2008,County Attorney,Legal Research Supvsr         ,42242.2,0,0,0
2008,County Attorney,Legal Secetary II             ,38808.88,0,0,2929.6
2008,County Attorney,Legal Secretary               ,44345.6,0,0,0
2008,County Attorney,Legal Secretary I             ,31549,0,0,428.625
2008,County Attorney,Legislative Affairs Aide      ,35193.6,0,0,0
2008,County Attorney,Legislative Affairs Specialist,26790.4,0,0,0
2008,County Attorney,Office Manager - NoEEORpt     ,46592,0,0,0
2008,County Attorney,Paralegal - NoEEORpt          ,33092.6,0,0,1191.125
2008,County Attorney,Program Administrator         ,32650.8,0,0,0
2008,County Attorney,Receptionist - NoEEORpt       ,33404.8,0,0,0
2008,County Attorney,Revenue Collections Specialist,31096,0,0,0
2008,County Attorney,Secretary - NoEEORpt          ,33597.2,0,0,0
2008,County Attorney,Senior Attorney               ,73347.43333,0,0,0
2008,County Attorney,Specialist                    ,22190.67,0,0,0
2008,County Attorney,Tax Clerk                     ,37528.4,0,0,0
2008,County Attorney,Tax Division Supvsr           ,44844.8,0,0,0
2008,County Attorney,Victim Advocate               ,27244.14286,0,0,0
2008,Criminal Justice Commission,Administrative Coordinator    ,34426.16,0,0,0
2008,Criminal Justice Commission,Director                      ,104448.04,0,0,0
2008,Criminal Justice Commission,Public Protection Coordinator ,57494.19667,0,0,0
2008,Economic Development,Administrative Asst           ,29820.92,335.8575,0,0
2008,Economic Development,Administrative Clerk          ,20335.876,143.946,0,0
2008,Economic Development,Administrative Specialist     ,51655.34,0,0,0
2008,Economic Development,Administrative Specialist - S3,42697.56,0,0,0
2008,Economic Development,Assistant Director            ,80504.33,0,0,0
2008,Economic Development,Business Accountant I         ,35517.28,229.73,0,0
2008,Economic Development,Business Accountant II        ,29601.48167,0,0,0
2008,Economic Development,Business Manager I            ,49098.63,0,0,0
2008,Economic Development,Business Manager II           ,63428.8,0,0,0
2008,Economic Development,Business Specialist           ,17438.3,398.665,0,129.495
2008,Economic Development,Director                      ,104160.96,0,0,0
2008,Economic Development,Economic Development Assistant,42859.13833,0,0,284.61
2008,Economic Development,Economic Development Coord    ,35989.5825,0,0,888.6525
2008,Economic Development,Economic Development Supvsr   ,52736.86,0,0,0
2008,Economic Development,Education Manager             ,59302.66,0,0,0
2008,Economic Development,Executive Administrator       ,69785.54833,0,0,924.0583333
2008,Economic Development,Executive Assistant           ,34303.44,92.47,0,946.71
2008,Economic Development,Geographic Info Syst Analyst  ,47493.195,0,0,0
2008,Economic Development,Grants Contract Coordinator   ,49919.36,0,0,0
2008,Economic Development,Parking Enforcement Officer I ,21180.705,4111.63,591.3,395.15
2008,Economic Development,Parking Facilities Coord      ,52842.3875,0,0,0
2008,Economic Development,Parking Facilities Inspector  ,42863.92,4262.64,0,0
2008,Economic Development,Parking Facilities Supv I     ,44921.4,0,0,0
2008,Economic Development,Parking Meter Attendant       ,32771.67333,3892.416667,459.4166667,151.7366667
2008,Economic Development,Parking Meter Data Collector  ,7605.175,17.56,0,0
